Quarters,Knowledge,Motivation,Consideration,Action,Habit,Label
1,200,230,110,31,0,"Informative-all, Gradual, Not-Implemented"
2,200,230,109,32,0,"Informative-all, Gradual, Not-Implemented"
3,200,230,108,33,0,"Informative-all, Gradual, Not-Implemented"
4,200,230,107,34,0,"Informative-all, Gradual, Not-Implemented"
5,200,230,106,35,0,"Informative-all, Gradual, Not-Implemented"
6,200,230,106,35,0,"Informative-all, Gradual, Not-Implemented"
7,200,230,106,35,0,"Informative-all, Gradual, Not-Implemented"
8,200,230,106,35,0,"Informative-all, Gradual, Not-Implemented"
9,200,230,106,35,0,"Informative-all, Gradual, Not-Implemented"
10,200,230,106,35,0,"Informative-all, Gradual, Not-Implemented"
11,200,230,106,35,0,"Informative-all, Gradual, Not-Implemented"
12,200,230,106,35,0,"Informative-all, Gradual, Not-Implemented"
13,200,230,106,35,0,"Informative-all, Gradual, Not-Implemented"
14,200,230,106,35,0,"Informative-all, Gradual, Not-Implemented"
15,200,230,106,35,0,"Informative-all, Gradual, Not-Implemented"
16,200,230,106,35,0,"Informative-all, Gradual, Not-Implemented"
17,200,230,106,35,0,"Informative-all, Gradual, Not-Implemented"
18,200,230,104,37,0,"Informative-all, Gradual, Not-Implemented"
19,200,230,104,37,0,"Informative-all, Gradual, Not-Implemented"
20,200,230,104,37,0,"Informative-all, Gradual, Not-Implemented"
21,200,230,104,37,0,"Informative-all, Gradual, Not-Implemented"
22,200,230,104,37,0,"Informative-all, Gradual, Not-Implemented"
23,200,230,104,37,0,"Informative-all, Gradual, Not-Implemented"
24,200,230,104,37,0,"Informative-all, Gradual, Not-Implemented"
25,200,230,104,37,0,"Informative-all, Gradual, Not-Implemented"
26,200,230,104,37,0,"Informative-all, Gradual, Not-Implemented"
27,200,230,104,37,0,"Informative-all, Gradual, Not-Implemented"
28,200,230,104,37,0,"Informative-all, Gradual, Not-Implemented"
29,200,230,103,38,0,"Informative-all, Gradual, Not-Implemented"
30,200,230,103,38,0,"Informative-all, Gradual, Not-Implemented"
31,200,230,103,38,0,"Informative-all, Gradual, Not-Implemented"
32,200,230,103,38,0,"Informative-all, Gradual, Not-Implemented"
33,200,230,102,39,0,"Informative-all, Gradual, Not-Implemented"
34,200,230,102,39,0,"Informative-all, Gradual, Not-Implemented"
35,200,230,102,39,0,"Informative-all, Gradual, Not-Implemented"
36,200,230,102,39,0,"Informative-all, Gradual, Not-Implemented"
37,200,230,102,39,0,"Informative-all, Gradual, Not-Implemented"
38,200,230,101,40,0,"Informative-all, Gradual, Not-Implemented"
39,200,230,101,40,0,"Informative-all, Gradual, Not-Implemented"
40,200,230,100,41,0,"Informative-all, Gradual, Not-Implemented"
41,200,230,100,41,0,"Informative-all, Gradual, Not-Implemented"
42,200,230,100,41,0,"Informative-all, Gradual, Not-Implemented"
43,200,230,100,41,0,"Informative-all, Gradual, Not-Implemented"
