Quarters,NonUsers,Users,FrequentUsers,Label
1,469,31,0,"Informative-all, Gradual, Not-Implemented"
2,469,31,0,"Informative-all, Gradual, Not-Implemented"
3,467,33,0,"Informative-all, Gradual, Not-Implemented"
4,467,33,0,"Informative-all, Gradual, Not-Implemented"
5,464,36,0,"Informative-all, Gradual, Not-Implemented"
6,462,38,0,"Informative-all, Gradual, Not-Implemented"
7,462,38,0,"Informative-all, Gradual, Not-Implemented"
8,462,38,0,"Informative-all, Gradual, Not-Implemented"
9,462,38,0,"Informative-all, Gradual, Not-Implemented"
10,462,38,0,"Informative-all, Gradual, Not-Implemented"
11,462,38,0,"Informative-all, Gradual, Not-Implemented"
12,462,38,0,"Informative-all, Gradual, Not-Implemented"
13,461,39,0,"Informative-all, Gradual, Not-Implemented"
14,461,39,0,"Informative-all, Gradual, Not-Implemented"
15,461,39,0,"Informative-all, Gradual, Not-Implemented"
16,461,39,0,"Informative-all, Gradual, Not-Implemented"
17,461,39,0,"Informative-all, Gradual, Not-Implemented"
18,461,39,0,"Informative-all, Gradual, Not-Implemented"
19,461,39,0,"Informative-all, Gradual, Not-Implemented"
20,461,39,0,"Informative-all, Gradual, Not-Implemented"
21,460,40,0,"Informative-all, Gradual, Not-Implemented"
22,460,40,0,"Informative-all, Gradual, Not-Implemented"
23,460,40,0,"Informative-all, Gradual, Not-Implemented"
24,460,40,0,"Informative-all, Gradual, Not-Implemented"
25,459,41,0,"Informative-all, Gradual, Not-Implemented"
26,458,42,0,"Informative-all, Gradual, Not-Implemented"
27,457,43,0,"Informative-all, Gradual, Not-Implemented"
28,457,43,0,"Informative-all, Gradual, Not-Implemented"
29,456,44,0,"Informative-all, Gradual, Not-Implemented"
30,455,45,0,"Informative-all, Gradual, Not-Implemented"
31,455,45,0,"Informative-all, Gradual, Not-Implemented"
32,455,45,0,"Informative-all, Gradual, Not-Implemented"
33,455,45,0,"Informative-all, Gradual, Not-Implemented"
34,455,45,0,"Informative-all, Gradual, Not-Implemented"
35,455,45,0,"Informative-all, Gradual, Not-Implemented"
36,454,46,0,"Informative-all, Gradual, Not-Implemented"
37,453,47,0,"Informative-all, Gradual, Not-Implemented"
38,453,47,0,"Informative-all, Gradual, Not-Implemented"
39,453,47,0,"Informative-all, Gradual, Not-Implemented"
40,453,47,0,"Informative-all, Gradual, Not-Implemented"
41,453,47,0,"Informative-all, Gradual, Not-Implemented"
42,453,47,0,"Informative-all, Gradual, Not-Implemented"
43,453,47,0,"Informative-all, Gradual, Not-Implemented"
44,453,47,0,"Informative-all, Gradual, Not-Implemented"
45,453,47,0,"Informative-all, Gradual, Not-Implemented"
46,453,47,0,"Informative-all, Gradual, Not-Implemented"
47,453,47,0,"Informative-all, Gradual, Not-Implemented"
48,453,47,0,"Informative-all, Gradual, Not-Implemented"
49,453,47,0,"Informative-all, Gradual, Not-Implemented"
50,453,47,0,"Informative-all, Gradual, Not-Implemented"
51,453,47,0,"Informative-all, Gradual, Not-Implemented"
52,453,47,0,"Informative-all, Gradual, Not-Implemented"
53,453,47,0,"Informative-all, Gradual, Not-Implemented"
54,453,47,0,"Informative-all, Gradual, Not-Implemented"
55,453,47,0,"Informative-all, Gradual, Not-Implemented"
56,453,47,0,"Informative-all, Gradual, Not-Implemented"
57,453,47,0,"Informative-all, Gradual, Not-Implemented"
58,453,47,0,"Informative-all, Gradual, Not-Implemented"
59,453,47,0,"Informative-all, Gradual, Not-Implemented"
60,453,47,0,"Informative-all, Gradual, Not-Implemented"
61,453,47,0,"Informative-all, Gradual, Not-Implemented"
62,453,47,0,"Informative-all, Gradual, Not-Implemented"
63,453,47,0,"Informative-all, Gradual, Not-Implemented"
64,453,47,0,"Informative-all, Gradual, Not-Implemented"
65,453,47,0,"Informative-all, Gradual, Not-Implemented"
66,453,47,0,"Informative-all, Gradual, Not-Implemented"
67,453,47,0,"Informative-all, Gradual, Not-Implemented"
68,453,47,0,"Informative-all, Gradual, Not-Implemented"
69,453,47,0,"Informative-all, Gradual, Not-Implemented"
70,453,47,0,"Informative-all, Gradual, Not-Implemented"
71,453,47,0,"Informative-all, Gradual, Not-Implemented"
72,453,47,0,"Informative-all, Gradual, Not-Implemented"
73,453,47,0,"Informative-all, Gradual, Not-Implemented"
74,453,47,0,"Informative-all, Gradual, Not-Implemented"
75,453,47,0,"Informative-all, Gradual, Not-Implemented"
76,453,47,0,"Informative-all, Gradual, Not-Implemented"
77,453,47,0,"Informative-all, Gradual, Not-Implemented"
78,452,48,0,"Informative-all, Gradual, Not-Implemented"
79,452,48,0,"Informative-all, Gradual, Not-Implemented"
80,452,48,0,"Informative-all, Gradual, Not-Implemented"
81,452,48,0,"Informative-all, Gradual, Not-Implemented"
82,452,48,0,"Informative-all, Gradual, Not-Implemented"
83,452,48,0,"Informative-all, Gradual, Not-Implemented"
84,452,48,0,"Informative-all, Gradual, Not-Implemented"
85,452,48,0,"Informative-all, Gradual, Not-Implemented"
86,452,48,0,"Informative-all, Gradual, Not-Implemented"
87,452,48,0,"Informative-all, Gradual, Not-Implemented"
88,452,48,0,"Informative-all, Gradual, Not-Implemented"
89,452,48,0,"Informative-all, Gradual, Not-Implemented"
90,452,48,0,"Informative-all, Gradual, Not-Implemented"
91,452,48,0,"Informative-all, Gradual, Not-Implemented"
92,452,48,0,"Informative-all, Gradual, Not-Implemented"
93,452,48,0,"Informative-all, Gradual, Not-Implemented"
94,452,48,0,"Informative-all, Gradual, Not-Implemented"
95,452,48,0,"Informative-all, Gradual, Not-Implemented"
96,452,48,0,"Informative-all, Gradual, Not-Implemented"
97,452,48,0,"Informative-all, Gradual, Not-Implemented"
98,452,48,0,"Informative-all, Gradual, Not-Implemented"
99,452,48,0,"Informative-all, Gradual, Not-Implemented"
100,452,48,0,"Informative-all, Gradual, Not-Implemented"
101,452,48,0,"Informative-all, Gradual, Not-Implemented"
102,452,48,0,"Informative-all, Gradual, Not-Implemented"
103,452,48,0,"Informative-all, Gradual, Not-Implemented"
104,452,48,0,"Informative-all, Gradual, Not-Implemented"
105,452,48,0,"Informative-all, Gradual, Not-Implemented"
106,452,48,0,"Informative-all, Gradual, Not-Implemented"
107,452,48,0,"Informative-all, Gradual, Not-Implemented"
108,452,48,0,"Informative-all, Gradual, Not-Implemented"
1,468,32,0,"Informative-all, Gradual, Not-Implemented"
2,468,32,0,"Informative-all, Gradual, Not-Implemented"
3,467,33,0,"Informative-all, Gradual, Not-Implemented"
4,465,35,0,"Informative-all, Gradual, Not-Implemented"
5,464,36,0,"Informative-all, Gradual, Not-Implemented"
6,464,36,0,"Informative-all, Gradual, Not-Implemented"
7,464,36,0,"Informative-all, Gradual, Not-Implemented"
8,464,36,0,"Informative-all, Gradual, Not-Implemented"
9,464,36,0,"Informative-all, Gradual, Not-Implemented"
10,463,37,0,"Informative-all, Gradual, Not-Implemented"
11,463,37,0,"Informative-all, Gradual, Not-Implemented"
12,463,37,0,"Informative-all, Gradual, Not-Implemented"
13,462,38,0,"Informative-all, Gradual, Not-Implemented"
14,462,38,0,"Informative-all, Gradual, Not-Implemented"
15,462,38,0,"Informative-all, Gradual, Not-Implemented"
16,462,38,0,"Informative-all, Gradual, Not-Implemented"
17,462,38,0,"Informative-all, Gradual, Not-Implemented"
18,462,38,0,"Informative-all, Gradual, Not-Implemented"
19,462,38,0,"Informative-all, Gradual, Not-Implemented"
20,462,38,0,"Informative-all, Gradual, Not-Implemented"
21,462,38,0,"Informative-all, Gradual, Not-Implemented"
22,462,38,0,"Informative-all, Gradual, Not-Implemented"
23,462,38,0,"Informative-all, Gradual, Not-Implemented"
24,462,38,0,"Informative-all, Gradual, Not-Implemented"
25,462,38,0,"Informative-all, Gradual, Not-Implemented"
26,462,38,0,"Informative-all, Gradual, Not-Implemented"
27,462,38,0,"Informative-all, Gradual, Not-Implemented"
28,462,38,0,"Informative-all, Gradual, Not-Implemented"
29,462,38,0,"Informative-all, Gradual, Not-Implemented"
30,462,38,0,"Informative-all, Gradual, Not-Implemented"
31,462,38,0,"Informative-all, Gradual, Not-Implemented"
32,462,38,0,"Informative-all, Gradual, Not-Implemented"
33,461,39,0,"Informative-all, Gradual, Not-Implemented"
34,461,39,0,"Informative-all, Gradual, Not-Implemented"
35,461,39,0,"Informative-all, Gradual, Not-Implemented"
36,461,39,0,"Informative-all, Gradual, Not-Implemented"
37,460,40,0,"Informative-all, Gradual, Not-Implemented"
38,460,40,0,"Informative-all, Gradual, Not-Implemented"
39,460,40,0,"Informative-all, Gradual, Not-Implemented"
40,460,40,0,"Informative-all, Gradual, Not-Implemented"
41,460,40,0,"Informative-all, Gradual, Not-Implemented"
42,460,40,0,"Informative-all, Gradual, Not-Implemented"
43,460,40,0,"Informative-all, Gradual, Not-Implemented"
44,460,40,0,"Informative-all, Gradual, Not-Implemented"
45,460,40,0,"Informative-all, Gradual, Not-Implemented"
46,460,40,0,"Informative-all, Gradual, Not-Implemented"
47,460,40,0,"Informative-all, Gradual, Not-Implemented"
